GRAPHEME	FROM_PHONATION	FROM_PLACE	FROM_MANNER	TO_PHONATION	TO_PLACE	TO_MANNER	ALIAS	EXTRA	NOTE
d̤b̥	from_breathy-voiced	from_alveolar	from_plosive	to_devoiced	to_bilabial	to_plosive			
d̤c	from_breathy-voiced	from_alveolar	from_plosive	to_voiceless	to_palatal	to_plosive			
d̤cʼ	from_breathy-voiced	from_alveolar	from_plosive	to_voiceless	to_palatal	to_plosive		to_ejection:to_ejective	
d̤d	from_breathy-voiced	from_alveolar	from_plosive	to_voiced	to_alveolar	to_plosive			
d̤d̠	from_breathy-voiced	from_alveolar	from_plosive	to_voiced	to_postalveolar	to_plosive			
d̤d̪	from_breathy-voiced	from_alveolar	from_plosive	to_voiced	to_dental	to_plosive			
d̤d̪̈	from_breathy-voiced	from_alveolar	from_plosive	to_breathy-voiced	to_dental	to_plosive			
d̤d̰	from_breathy-voiced	from_alveolar	from_plosive	to_creaky-voiced	to_alveolar	to_plosive			
d̤d̻	from_breathy-voiced	from_alveolar	from_plosive	to_voiced	to_lamino-dental	to_plosive			
d̤g	from_breathy-voiced	from_alveolar	from_plosive	to_voiced	to_velar	to_plosive			
d̤g̈	from_breathy-voiced	from_alveolar	from_plosive	to_breathy-voiced	to_velar	to_plosive			
d̤g̊	from_breathy-voiced	from_alveolar	from_plosive	to_devoiced	to_velar	to_plosive			
d̤k	from_breathy-voiced	from_alveolar	from_plosive	to_voiceless	to_velar	to_plosive			
d̤kʼ	from_breathy-voiced	from_alveolar	from_plosive	to_voiceless	to_velar	to_plosive		to_ejection:to_ejective	
d̤p	from_breathy-voiced	from_alveolar	from_plosive	to_voiceless	to_bilabial	to_plosive			
d̤pʼ	from_breathy-voiced	from_alveolar	from_plosive	to_voiceless	to_bilabial	to_plosive		to_ejection:to_ejective	
d̤q	from_breathy-voiced	from_alveolar	from_plosive	to_voiceless	to_uvular	to_plosive			
d̤qʼ	from_breathy-voiced	from_alveolar	from_plosive	to_voiceless	to_uvular	to_plosive		to_ejection:to_ejective	
d̤t	from_breathy-voiced	from_alveolar	from_plosive	to_voiceless	to_alveolar	to_plosive			
d̤tʼ	from_breathy-voiced	from_alveolar	from_plosive	to_voiceless	to_alveolar	to_plosive		to_ejection:to_ejective	
d̤t̠	from_breathy-voiced	from_alveolar	from_plosive	to_voiceless	to_postalveolar	to_plosive			
d̤t̪	from_breathy-voiced	from_alveolar	from_plosive	to_voiceless	to_dental	to_plosive			
d̤t̻	from_breathy-voiced	from_alveolar	from_plosive	to_voiceless	to_lamino-dental	to_plosive			
d̤ɓ	from_breathy-voiced	from_alveolar	from_plosive	to_voiced	to_bilabial	to_implosive			
d̤ɖ	from_breathy-voiced	from_alveolar	from_plosive	to_voiced	to_retroflex	to_plosive			
d̤ɖ̤	from_breathy-voiced	from_alveolar	from_plosive	to_breathy-voiced	to_retroflex	to_plosive			
d̤ɗ	from_breathy-voiced	from_alveolar	from_plosive	to_voiced	to_dental	to_implosive			
