ID	non_ipa	ipa	chart	height/manner	place/color	misc1	misc2
377	sW	sʷ	consonant	fricative	alveolar	voiceless	labialized
378	s'	sʼ	consonant	fricative	alveolar	voiceless	glottalized
379	s/	sʼ	consonant	fricative	alveolar	voiceless	glottalized
380	s’	sʼ	consonant	fricative	alveolar	voiceless	glottalized
381	sJ	sʲ	consonant	fricative	alveolar	voiceless	palatalized
382	s$	s̀	consonant	fricative	alveolar	voiceless	tense
383	s&	š	consonant	fricative	alveolar	voiceless	trilled
384	z	z	consonant	fricative	alveolar	voiced	plain
385	zÖ	zˤ	consonant	fricative	alveolar	voiced	pharyngealized
386	z³	zˤ	consonant	fricative	alveolar	voiced	pharyngealized
387	zW	zʷ	consonant	fricative	alveolar	voiced	labialized
388	z'	zʼ	consonant	fricative	alveolar	voiced	glottalized
389	z’	zʼ	consonant	fricative	alveolar	voiced	glottalized
390	zj	zʲ	consonant	fricative	alveolar	voiced	palatalized
391	z-	z̤	consonant	fricative	alveolar	breathy	plain
392	zƒwÄw	zʷ͡ɣw	consonant	fricative	alveolar_to_velar	voiced	labialized_labialized
393	zƒÄw	z͡ɣw	consonant	fricative	alveolar_to_velar	voiced	labialized
394	ü	ʑ	consonant	fricative	alveolopalatal	voiced	plain
395	þ	ɕ	consonant	fricative	alveolopalatal	voiceless	plain
396	þç	ɕɥ	consonant	fricative	alveolopalatal	voiceless	labiopalatalized
397	þh	ɕʰ	consonant	fricative	alveolopalatal	voiceless	aspirated
398	¸	ɸ	consonant	fricative	bilabial	voiceless	plain
399	mv	v	consonant	fricative	bilabial	voiced	prenasalized
400	B	β	consonant	fricative	bilabial	voiced	plain
401	n5z5	n̪z̪	consonant	fricative	dental	voiced	prenasalized
402	s5	s̪	consonant	fricative	dental	voiceless	plain
403	s5:	s̪ː	consonant	fricative	dental	voiceless_long	plain
404	s5Ö	s̪ˤ	consonant	fricative	dental	voiceless	pharyngealized
405	s5³	s̪ˤ	consonant	fricative	dental	voiceless	pharyngealized
406	s5Ö:	s̪ˤː	consonant	fricative	dental	voiceless_long	pharyngealized
407	s5'	s̪ʼ	consonant	fricative	dental	voiceless	glottalized
408	s5’	s̪ʼ	consonant	fricative	dental	voiceless	glottalized
409	s5j	s̪ʲ	consonant	fricative	dental	voiceless	palatalized
410	z5	z̪	consonant	fricative	dental	voiced	plain
411	z5:	z̪ː	consonant	fricative	dental	voiced_long	plain
412	z5Ö	z̪ˤ	consonant	fricative	dental	voiced	pharyngealized
413	z5³	z̪ˤ	consonant	fricative	dental	voiced	pharyngealized
414	z5Ö:	z̪ˤː	consonant	fricative	dental	voiced_long	pharyngealized
415	z5j	z̪ʲ	consonant	fricative	dental	voiced	palatalized
416	s5v	s̪v	consonant	fricative	dental_to_labiodental	voiceless_to_voiced	plain
417	z5v	z̪v	consonant	fricative	dental_to_labiodental	voiced	plain
418	ú	ɦ	consonant	fricative	glottal	voiced	plain
419	új	ɦʷ	consonant	fricative	glottal	voiced	labialized
420	úw	ɦʲ	consonant	fricative	glottal	voiced	palatalized
421	ú)	ɦ̃	consonant	fricative	glottal	voiced	nasalized
422	h	h	consonant	fricative	glottal	voiceless	plain
423	h³	hˤ	consonant	fricative	glottal	voiceless	pharyngealized
424	hW	hʷ	consonant	fricative	glottal	voiceless	labialized
425	hw:	hʷː	consonant	fricative	glottal	voiceless_long	labialized
426	hJ	hʲ	consonant	fricative	glottal	voiceless	palatalized
427	h)	h̃	consonant	fricative	glottal	voiceless	nasalized
428	D	ð	consonant	fricative	interdental	voiced	plain
429	DÄ	ðˠ	consonant	fricative	interdental	voiced	velarized
430	DÖ	ðˤ	consonant	fricative	interdental	voiced	pharyngealized
431	D³	ðˤ	consonant	fricative	interdental	voiced	pharyngealized
432	Dj	ðʲ	consonant	fricative	interdental	voiced	palatalized
433	T	θ	consonant	fricative	interdental	voiceless	plain
434	T'	θʼ	consonant	fricative	interdental	voiceless	glottalized
435	T’	θʼ	consonant	fricative	interdental	voiceless	glottalized
436	nD	nð	consonant	fricative	interdental	voiced	prenasalized
437	M8f	ɱ̥f	consonant	fricative	labiodental	voiceless	voiceless_prenasalized
438	f	f	consonant	fricative	labiodental	voiceless	plain
439	f:	fː	consonant	fricative	labiodental	voiceless_long	plain
440	ff	fː	consonant	fricative	labiodental	voiceless_long	plain
441	fl	fˡ	consonant	fricative	labiodental	voiceless	lateral
442	f³	fˤ	consonant	fricative	labiodental	voiceless	pharyngealized
443	fW	fʷ	consonant	fricative	labiodental	voiceless	labialized
444	f'	fʼ	consonant	fricative	labiodental	voiceless	glottalized
445	f’	fʼ	consonant	fricative	labiodental	voiceless	glottalized
446	fj	fʲ	consonant	fricative	labiodental	voiceless	palatalized
447	fJ	fʲ	consonant	fricative	labiodental	voiceless	palatalized
448	mf	f	consonant	fricative	labiodental	voiceless	prenasalized
449	Mv	v	consonant	fricative	labiodental	voiced	prenasalized
450	v	v	consonant	fricative	labiodental	voiced	plain
451	vl	vˡ	consonant	fricative	labiodental	voiced	lateral
452	v³	vˤ	consonant	fricative	labiodental	voiced	pharyngealized
453	vh	vʰ	consonant	fricative	labiodental	voiced	aspirated
454	vW	vʷ	consonant	fricative	labiodental	voiced	labialized
455	vj	vʲ	consonant	fricative	labiodental	voiced	palatalized
456	vJ	vʲ	consonant	fricative	labiodental	voiced	palatalized
457	v-	v̤	consonant	fricative	labiodental	breathy	plain
458	v8	v̥	consonant	fricative	labiodental	devoiced	plain
459	v)j	ṽʲ	consonant	fricative	labiodental	voiced	nasalized_palatalized
460	v)J	ṽʲ	consonant	fricative	labiodental	voiced	nasalized_palatalized
461	fS	fʃ	consonant	fricative	labiodental_to_postalveolar	voiceless	plain
462	ÄƒB	ɣ͡β	consonant	fricative	labiovelar	voiced	plain
463	xƒ¸	x͡ɸ	consonant	fricative	labiovelar	voiceless	plain
464	s6	s̻	consonant	fricative	laminal_alveolar	voiceless	plain
465	s6Ö	s̻ˤ	consonant	fricative	laminal_alveolar	voiceless	pharyngealized
466	z6	z̻	consonant	fricative	laminal_alveolar	voiced	plain
467	z6Ö	z̻ˤ	consonant	fricative	laminal_alveolar	voiced	pharyngealized
468	Z6	ʒ̥	consonant	fricative	laminal_postalveolar	voiced	plain
469	Z6w	ʒ̥ʷ	consonant	fricative	laminal_postalveolar	voiced	labialized
470	S6w	ʃ̥ʷ	consonant	fricative	laminal_postalveolar	voiceless	labialized
471	nÂ	ⁿɬ	consonant	fricative	lateral	voiceless	prenasalized
472	nL	ⁿɮ	consonant	fricative	lateral	voiced	prenasalized
473	Â	ɬ	consonant	fricative	lateral	voiceless	plain
474	Âw	ɬʷ	consonant	fricative	lateral	voiceless	labialized
475	Â'	ɬʼ	consonant	fricative	lateral	voiceless	glottalized
476	Â/	ɬʼ	consonant	fricative	lateral	voiceless	glottalized
477	Â’	ɬʼ	consonant	fricative	lateral	voiceless	glottalized
478	Â$	ɬ̀	consonant	fricative	lateral	voiceless	tense
479	L	ɮ	consonant	fricative	lateral	voiced	plain
480	mÂ	ɬ	consonant	fricative	lateral	voiceless	labial_prenasalized
481	C	ç	consonant	fricative	palatal	voiceless	plain
482	Cw	çʷ	consonant	fricative	palatal	voiceless	labialized
483	Æ	ʝ	consonant	fricative	palatal	voiced	plain
484	Æ'	ʝʼ	consonant	fricative	palatal	voiced	glottalized
485	Æ’	ʝʼ	consonant	fricative	palatal	voiced	glottalized
486	ð	ħ	consonant	fricative	pharyngeal	voiceless	plain
487	ðw	ħʷ	consonant	fricative	pharyngeal	voiceless	labialized
488	Ö	ʕ	consonant	fricative	pharyngeal	voiced	plain
489	Öw	ʕʷ	consonant	fricative	pharyngeal	voiced	labialized
490	Ö'	ʕʼ	consonant	fricative	pharyngeal	voiced	glottalized
491	Ö’	ʕʼ	consonant	fricative	pharyngeal	voiced	glottalized
492	Ö’w	ʕʼʷ	consonant	fricative	pharyngeal	voiced	glottalized_labialized
493	Ö'w	ʕʼʷ	consonant	fricative	pharyngeal	voiced	glottalized_labialized
494	øZ	ⁿʒ	consonant	fricative	postalveolar	voiced	prenasalized
495	nZ	ⁿʒ	consonant	fricative	postalveolar	voiced	prenasalized
496	øS	ⁿʃ	consonant	fricative	postalveolar	voiceless	prenasalized
497	Z	ʒ	consonant	fricative	postalveolar	voiced	plain
498	Z:	ʒː	consonant	fricative	postalveolar	voiced_long	plain
499	Zʰ	ʒʰ	consonant	fricative	postalveolar	voiced	aspirated
500	Zh	ʒʰ	consonant	fricative	postalveolar	voiced	aspirated
501	Zw	ʒʷ	consonant	fricative	postalveolar	voiced	labialized
502	ZW	ʒʷ	consonant	fricative	postalveolar	voiced	labialized
503	Zj	ʒʲ	consonant	fricative	postalveolar	voiced	palatalized
504	Z_	ʒ̤	consonant	fricative	postalveolar	breathy	plain
505	ø8S	ɲ̥ʃ	consonant	fricative	postalveolar	voiceless	voiceless_prenasalized
506	S	ʃ	consonant	fricative	postalveolar	voiceless	plain
507	S:	ʃː	consonant	fricative	postalveolar	voiceless_long	plain
508	SS	ʃː	consonant	fricative	postalveolar	voiceless_long	plain
509	SW	ʃʷ	consonant	fricative	postalveolar	voiceless	labialized
510	S'	ʃʼ	consonant	fricative	postalveolar	voiceless	glottalized
511	S’	ʃʼ	consonant	fricative	postalveolar	voiceless	glottalized
512	Sj	ʃʲ	consonant	fricative	postalveolar	voiceless	palatalized
513	S$	ʃ̀	consonant	fricative	postalveolar	voiceless	tense
514	mS	ʃ	consonant	fricative	postalveolar	voiceless	labial_prenasalized
515	ZƒÄw	ʒ͡ɣw	consonant	fricative	postalveolar_to_velar	voiced	labialized
516	n2s2	n̞s̞	consonant	fricative	retracted_alveolar	voiceless	prenasalized
517	s2	s̞	consonant	fricative	retracted_alveolar	voiceless	plain
518	½	ʐ	consonant	fricative	retroflex	voiced	plain
519	§	ʂ	consonant	fricative	retroflex	voiceless	plain
520	§h	ʂʰ	consonant	fricative	retroflex	voiceless	aspirated
521	Ò	ʁ	consonant	fricative	uvular	voiced	plain
522	Ò:	ʁː	consonant	fricative	uvular	voiced_long	plain
523	Ò³	ʁˤ	consonant	fricative	uvular	voiced	pharyngealized
524	Ò³w	ʁˤʷ	consonant	fricative	uvular	voiced	pharyngealized_labialized
525	Òw	ʁʷ	consonant	fricative	uvular	voiced	labialized
526	Òj	ʁʲ	consonant	fricative	uvular	voiced	palatalized
527	X	χ	consonant	fricative	uvular	voiceless	plain
528	X:	χː	consonant	fricative	uvular	voiceless_long	plain
529	X³	χˤ	consonant	fricative	uvular	voiceless	pharyngealized
530	X³w	χˤʷ	consonant	fricative	uvular	voiceless	pharyngealized_labialized
531	Xw	χʷ	consonant	fricative	uvular	voiceless	labialized
532	Xj	χʲ	consonant	fricative	uvular	voiceless	palatalized
533	X$	χ̀	consonant	fricative	uvular	voiceless	tense
534	X$w	χ̀ʷ	consonant	fricative	uvular	voiceless	labialized_tense
535	Ä	ɣ	consonant	fricative	velar	voiced	plain
536	g&	ɣː	consonant	fricative	velar	voiced_long	plain
537	Äh	ɣʰ	consonant	fricative	velar	voiced	aspirated
538	Äw	ɣʷ	consonant	fricative	velar	voiced	labialized
539	Ä'	ɣʼ	consonant	fricative	velar	voiced	glottalized
540	Ä’	ɣʼ	consonant	fricative	velar	voiced	glottalized
541	Äj	ɣʲ	consonant	fricative	velar	voiced	palatalized
542	Ä$	ɣ̀	consonant	fricative	velar	voiced	tense
543	x	x	consonant	fricative	velar	voiceless	plain
544	x:	xː	consonant	fricative	velar	voiceless_long	plain
545	xh	xʰ	consonant	fricative	velar	voiceless	aspirated
546	xw	xʷ	consonant	fricative	velar	voiceless	labialized
547	x'	xʼ	consonant	fricative	velar	voiceless	glottalized
548	x’	xʼ	consonant	fricative	velar	voiceless	glottalized
549	xj	xʲ	consonant	fricative	velar	voiceless	palatalized
550	xJ	xʲ	consonant	fricative	velar	voiceless	palatalized
551	x$	x̀	consonant	fricative	velar	voiceless	tense
552	x$w	x̀ʷ	consonant	fricative	velar	voiceless	labialized_tense
553	StS	ʃtʃ	consonant	fricative_to_affricate	postalveolar	voiceless	plain
554	sƒkw	s͡kʷ	consonant	fricative_to_stop	alveolar_to_velar	voiceless	labialized
555	sƒwkw	s͡kʷ	consonant	fricative_to_stop	alveolar_to_velar	voiceless	labialized
556	Sƒkw	ʃ͡kʷ	consonant	fricative_to_stop	postalveolar_to_velar	voiceless	labialized
557	ë	ɗ	consonant	implosive	alveolar	voiced	plain
558	ëW	ɗʷ	consonant	implosive	alveolar	voiced	labialized
559	º	ɓ	consonant	implosive	bilabial	voiced	plain
560	ºW	ɓʷ	consonant	implosive	bilabial	voiced	labialized
561	¹	ɓ̥	consonant	implosive	bilabial	voiceless	plain
562	º¥ì	ɓ̥ˠ	consonant	implosive	bilabial	voiceless	velarized
563	ë5	ɗ̪	consonant	implosive	dental	voiced	plain
564	©ƒº	ɠ͡ɓ	consonant	implosive	labiovelar	voiced	plain
565	×	ʄ	consonant	implosive	palatal	voiced	plain
566	‚	ʄ̥	consonant	implosive	palatal	voiceless	plain
567	ÿej	ɖ˞	consonant	implosive	retroflex	voiceless	plain
568	ý	ʛ	consonant	implosive	uvular	voiced	plain
569	©	ɠ	consonant	implosive	velar	voiced	plain
570	©w	ɠʷ	consonant	implosive	velar	voiced	labialized
571	©j	ɠʲ	consonant	implosive	velar	voiced	palatalized
572	Ï8	ɠ̥	consonant	implosive	velar	voiceless	plain
573	ëZ	ɗʒ	consonant	implosive_affricate	postalveolar	voiced	plain
574	l+	l̟	consonant	lateral_approximant	advanced_lateral	voiced	plain
575	l+j	l̟ʲ	consonant	lateral_approximant	advanced_lateral	voiced	palatalized
576	l+J	l̟ʲ	consonant	lateral_approximant	advanced_lateral	voiced	palatalized
577	l5	l̪	consonant	lateral_approximant	dental	voiced	plain
578	l5:	l̪ː	consonant	lateral_approximant	dental	voiced_long	plain
579	l5Ö	l̪ˤ	consonant	lateral_approximant	dental	voiced	pharyngealized
580	l5³	l̪ˤ	consonant	lateral_approximant	dental	voiced	pharyngealized
581	l5Ö:	l̪ˤː	consonant	lateral_approximant	dental	voiced_long	pharyngealized
582	l5h	l̪ʰ	consonant	lateral_approximant	dental	voiced	aspirated
583	l5'	l̪ʼ	consonant	lateral_approximant	dental	voiced	glottalized
584	l5’	l̪ʼ	consonant	lateral_approximant	dental	voiced	glottalized
585	l5j	l̪ʲ	consonant	lateral_approximant	dental	voiced	palatalized
586	/l	ʔl	consonant	lateral_approximant	lateral	voiced	preglottalized
587	‘l	ʔl	consonant	lateral_approximant	lateral	voiced	preglottalized
588	medl	l	consonant	lateral_approximant	lateral	voiced	labial_prenasalized
589	l	l	consonant	lateral_approximant	lateral	voiced	plain
590	l:	lː	consonant	lateral_approximant	lateral	voiced_long	plain
591	ll	lː	consonant	lateral_approximant	lateral	voiced_long	plain
592	É	lˠ	consonant	lateral_approximant	lateral	voiced	velarized
593	lÄ	lˠ	consonant	lateral_approximant	lateral	voiced	velarized
594	Éw	lˠʷ	consonant	lateral_approximant	lateral	voiced	labialized_velarized
595	lÖ	lˤ	consonant	lateral_approximant	lateral	voiced	pharyngealized
596	lç	lɥ	consonant	lateral_approximant	lateral	voiced	labiopalatalized
597	lH	lʰ	consonant	lateral_approximant	lateral	voiced	aspirated
598	lW	lʷ	consonant	lateral_approximant	lateral	voiced	labialized
599	l'	lʼ	consonant	lateral_approximant	lateral	voiced	glottalized
600	l’	lʼ	consonant	lateral_approximant	lateral	voiced	glottalized
601	lJ	lʲ	consonant	lateral_approximant	lateral	voiced	palatalized
602	l-	l̤	consonant	lateral_approximant	lateral	breathy	plain
603	l8	l̥	consonant	lateral_approximant	lateral	voiceless	plain
604	l8H	l̥ʰ	consonant	lateral_approximant	lateral	voiceless	aspirated
605	l`	l̩	consonant	lateral_approximant	lateral	voiced	syllabic
606	l)	l̃	consonant	lateral_approximant	lateral	voiced	nasalized
607	´	ʎ	consonant	lateral_approximant	palatal	voiced	plain
608	´8	ʎ̥	consonant	lateral_approximant	palatal	voiceless	plain
609	ñ	ɭ	consonant	lateral_approximant	retroflex	voiced	plain
610	l5T	l̪θ	consonant	lateral_approximant_to_fricative	dental	voiced_to_voiceless	plain
611	o9	o̯	consonant	mid_approximant	labiovelar	voiced	plain
612	e9	e̯	consonant	mid_approximant	palatal	voiced	plain
613	n+	n̟	consonant	nasal	advanced_alveolar	voiced	plain
614	n+’	n̟ʲ	consonant	nasal	advanced_alveolar	voiced	palatalized
615	n+J	n̟ʲ	consonant	nasal	advanced_alveolar	voiced	palatalized
616	/n	ʔn	consonant	nasal	alveolar	voiced	preglottalized
617	‘n	ʔn	consonant	nasal	alveolar	voiced	preglottalized
618	n	n	consonant	nasal	alveolar	voiced	plain
619	n'	n’	consonant	nasal	alveolar	voiced	glottalized
620	n/	n’	consonant	nasal	alveolar	voiced	glottalized
621	n’	n’	consonant	nasal	alveolar	voiced	glottalized
622	n:	nː	consonant	nasal	alveolar	voiced_long	plain
623	nn	nː	consonant	nasal	alveolar	voiced_long	plain
624	nÖ	nˤ	consonant	nasal	alveolar	voiced	pharyngealized
625	n³	nˤ	consonant	nasal	alveolar	voiced	pharyngealized
626	nÖ:	nˤː	consonant	nasal	alveolar	voiced_long	pharyngealized
627	nH	nʰ	consonant	nasal	alveolar	voiced	aspirated
628	nW	nʷ	consonant	nasal	alveolar	voiced	labialized
629	nJ	nʲ	consonant	nasal	alveolar	voiced	palatalized
630	ny	nʲ	consonant	nasal	alveolar	voiced	palatalized
631	n%	n̏	consonant	nasal	alveolar	voiced	heavy
632	næ	n̂	consonant	nasal	alveolar	voiced	lax
633	n-	n̤	consonant	nasal	alveolar	breathy	plain
634	n8	n̥	consonant	nasal	alveolar	voiceless	plain
635	n`	n̩	consonant	nasal	alveolar	voiced	syllabic
636	nƒNw	nŋw	consonant	nasal	alveolar_to_velar	voiced	labialized
637	/m	ʔm	consonant	nasal	bilabial	voiced	preglottalized
638	‘m	ʔm	consonant	nasal	bilabial	voiced	preglottalized
639	m	m	consonant	nasal	bilabial	voiced	plain
640	m<	m<	consonant	nasal	bilabial	voiced	pulmonic_ingressive
641	m:	mː	consonant	nasal	bilabial	voiced_long	plain
642	mm	mː	consonant	nasal	bilabial	voiced_long	plain
643	mì	mˠ	consonant	nasal	bilabial	voiced	velarized
644	ml	mˡ	consonant	nasal	bilabial	voiced	lateral
645	m³	mˤ	consonant	nasal	bilabial	voiced	pharyngealized
646	mH	mʰ	consonant	nasal	bilabial	voiced	aspirated
647	mW	mʷ	consonant	nasal	bilabial	voiced	labialized
648	m'	mʼ	consonant	nasal	bilabial	voiced	glottalized
649	m/	mʼ	consonant	nasal	bilabial	voiced	glottalized
650	m’	mʼ	consonant	nasal	bilabial	voiced	glottalized
651	mJ	mʲ	consonant	nasal	bilabial	voiced	palatalized
652	m%	m̏	consonant	nasal	bilabial	voiced	heavy
653	mæ	m̂	consonant	nasal	bilabial	voiced	lenis
654	m-	m̤	consonant	nasal	bilabial	breathy	plain
655	m8	m̥	consonant	nasal	bilabial	voiceless	plain
656	m8H	m̥ʰ	consonant	nasal	bilabial	voiceless	aspirated
657	m`	m̩	consonant	nasal	bilabial	voiced	syllabic
658	nnl	mnl	consonant	nasal	bilabial_to_alveolar	voiced	lateral
659	mƒN	m͡ŋ	consonant	nasal	bilabial_to_velar	voiced	plain
660	n5	n̪	consonant	nasal	dental	voiced	plain
661	n5:	n̪ː	consonant	nasal	dental	voiced_long	plain
662	n5h	n̪ʰ	consonant	nasal	dental	voiced	aspirated
663	n5'	n̪ʼ	consonant	nasal	dental	voiced	glottalized
664	n5’	n̪ʼ	consonant	nasal	dental	voiced	glottalized
665	n5j	n̪ʲ	consonant	nasal	dental	voiced	palatalized
666	Nƒm	ŋ͡m	consonant	nasal	labiovelar	voiced	plain
667	Nm	ŋ͡m	consonant	nasal	labiovelar	voiced	plain
668	Nƒmj	ŋ͡mʲ	consonant	nasal	labiovelar	voiced	palatalized
669	Nmj	ŋ͡mʲ	consonant	nasal	labiovelar	voiced	palatalized
670	n6	n̻	consonant	nasal	laminal_alveolar	voiced	plain
671	ø	ɲ	consonant	nasal	palatal	voiced	plain
672	ø:	ɲː	consonant	nasal	palatal	voiced_long	plain
673	øç	ɲɥ	consonant	nasal	palatal	voiced	labiopalatalized
674	øH	ɲʰ	consonant	nasal	palatal	voiced	aspirated
675	ø8	ɲ̥	consonant	nasal	palatal	voiceless	plain
676	ø¥	ɲ̥	consonant	nasal	palatal	voiceless	plain
677	ø8H	ɲ̥ʰ	consonant	nasal	palatal	voiceless	aspirated
678	mø	ɲ	consonant	nasal	palatal	voiced	labial_prenasalized
679	øƒn5	ɲ͡n̪	consonant	nasal	palatal_to_dental	voiced	plain
680	øƒN	ɲ͡ŋ	consonant	nasal	palatal_to_velar	voiced	plain
681	øƒNw	ɲ͡ŋw	consonant	nasal	palatal_to_velar	voiced	labialized
682	N?	N?	consonant	nasal	placeless	voiced	plain
683	N1	N̩	consonant	nasal	placeless	voiced	syllabic
684	n2	n̞	consonant	nasal	retracted_alveolar	voiced	plain
