CLTS_NAME	BIPA_GRAPHEME	EURASIAN_URL	EURASIAN_GRAPHEME
palatalized voiced dental nasal consonant	n̪ʲ	http://eurasianphonology.info/search_exact?dialects=True&query=n̪ʲ	n̪ʲ
ultra-short lowered central unrounded mid central vowel	ə̞̆	http://eurasianphonology.info/search_exact?dialects=True&query=ə̞̆	ə̞̆
long back less-rounded rounded mid back vowel	o̞̜ː	http://eurasianphonology.info/search_exact?dialects=True&query=o̞̜ː	o̞̜ː
long front unrounded mid front vowel	e̞ː	http://eurasianphonology.info/search_exact?dialects=True&query=e̞ː	e̞ː
aspirated voiceless laminal alveolar stop consonant	t̻ʰ	http://eurasianphonology.info/search_exact?dialects=True&query=t̻ʰ	t̻ʰ
voiced laminal alveolar stop consonant	d̻	http://eurasianphonology.info/search_exact?dialects=True&query=d̻	d̻
aspirated voiceless palatal stop consonant	cʰ	http://eurasianphonology.info/search_exact?dialects=True&query=cʰ	cʰ
aspirated voiceless post-alveolar sibilant affricate consonant	tʃʰ	http://eurasianphonology.info/search_exact?dialects=True&query=tʃʰ	tʃʰ
voiceless laminal alveolar sibilant fricative consonant	s̻	http://eurasianphonology.info/search_exact?dialects=True&query=s̻	s̻
voiced laminal alveolar sibilant fricative consonant	z̻	http://eurasianphonology.info/search_exact?dialects=True&query=z̻	z̻
voiced laminal alveolar nasal consonant	n̻	http://eurasianphonology.info/search_exact?dialects=True&query=n̻	n̻
voiced laminal alveolar lateral approximant consonant	l̻	http://eurasianphonology.info/search_exact?dialects=True&query=l̻	l̻
devoiced voiced laminal alveolar tap consonant	ɾ̻	http://eurasianphonology.info/search_exact?dialects=True&query=ɾ̻	ɾ̻
front unrounded mid front vowel	e̞	http://eurasianphonology.info/search_exact?dialects=True&query=e̞	e̞
back unrounded close back vowel	ɯ	http://eurasianphonology.info/search_exact?dialects=True&query=ɯ	ɯ
long back unrounded close back vowel	ɯː	http://eurasianphonology.info/search_exact?dialects=True&query=ɯː	ɯː
aspirated long voiceless bilabial stop consonant	pʰː	http://eurasianphonology.info/search_exact?dialects=True&query=pːʰ	pːʰ
long voiceless alveolar stop consonant	tː	http://eurasianphonology.info/search_exact?dialects=True&query=tː	tː
long voiceless alveolar sibilant fricative consonant	sː	http://eurasianphonology.info/search_exact?dialects=True&query=sː	sː
long voiceless post-alveolar sibilant fricative consonant	ʃː	http://eurasianphonology.info/search_exact?dialects=True&query=ʃː	ʃː
long voiceless palatal affricate consonant	cçː	http://eurasianphonology.info/search_exact?dialects=True&query=cçː	cçː
from devoiced voiced palatal stop to devoiced voiced palatal fricative cluster	ɟ̥ʝ̥	http://eurasianphonology.info/search_exact?dialects=True&query=ɟ̥ʝ̥	ɟ̥ʝ̥
nasalized voiced palatal approximant consonant	j̃	http://eurasianphonology.info/search_exact?dialects=True&query=j̃	j̃
long voiceless velar stop consonant	kː	http://eurasianphonology.info/search_exact?dialects=True&query=kː	kː
