CLTS_NAME	BIPA_GRAPHEME	ID	GRAPHEME	FEATURES
voiceless post-alveolar stop consonant	t̠	3823	t̠	pulmonic stop voiceless palato-alveolar
labialized voiceless uvular stop consonant	qʷ	3850	qʷ	pulmonic stop voiceless labialized uvular
labialized aspirated voiceless uvular stop consonant	qʷʰ	3852	qʷʰ	pulmonic stop aspirated voiceless labialized uvular
from rounded close-mid back to rounded close back diphthong	ou	3937	ou	diphtong high higher mid back rounded rising
devoiced voiced velar nasal consonant	ŋ̊	3972	ŋ̥	pulmonic nasal voiceless velar
devoiced voiced retroflex lateral approximant consonant	ɭ̥	3978	ɭ̥	pulmonic approximant lateral voiceless retroflex
devoiced voiced retroflex nasal consonant	ɳ̥	3980	ɳ̥	pulmonic nasal voiceless retroflex
devoiced voiced palatal nasal consonant	ɲ̊	3981	ɲ̥	pulmonic nasal voiceless palatal
devoiced unrounded close front vowel	i̥	3999	i̥	voiceless high front unrounded
voiced bilabial nasal consonant	m	4	m	pulmonic nasal voiced bilabial
devoiced unrounded open front vowel	ḁ	4000	ḁ	voiceless low central unrounded
devoiced rounded close back vowel	u̥	4003	u̥	voiceless high back rounded
labialized voiced velar nasal consonant	ŋʷ	4027	ŋʷ	pulmonic nasal voiced labialized velar
voiced bilabial approximant consonant	β̞	4028	β̞	pulmonic approximant voiced bilabial
voiced dental sibilant affricate consonant	dz̪	4155	d̪z̪	pulmonic affricate sibilant voiced dental
labialized voiceless uvular fricative consonant	χʷ	4157	χʷ	pulmonic fricative voiceless labialized uvular
labialized voiced uvular fricative consonant	ʁʷ	4159	ʁʷ	pulmonic fricative voiced labialized uvular
labialized voiceless glottal stop consonant	ʔʷ	4160	ʔʷ	pulmonic stop voiceless labialized glottal
palatalized aspirated voiceless velar stop consonant	kʲʰ	4164	kʲʰ	pulmonic stop aspirated voiceless palatalized velar
labialized aspirated voiceless velar stop consonant	kʷʰ	4166	kʷʰ	pulmonic stop aspirated voiceless labialized velar
palatalized voiceless velar fricative consonant	xʲ	4180	xʲ	pulmonic fricative voiceless palatalized velar
aspirated voiceless alveolar sibilant fricative consonant	sʰ	4195	sʰ	pulmonic fricative sibilant aspirated voiceless alveolar
voiced alveolar trill consonant	r	42	r	pulmonic trill voiced alveolar
labialized voiceless glottal fricative consonant	hʷ	4298	hʷ	pulmonic fricative voiceless labialized glottal
voiced uvular trill consonant	ʀ	43	ʀ	pulmonic trill voiced uvular
breathy voiced dental stop consonant	d̪ʱ	4321	d̪̤	pulmonic stop breathy voiced dental
breathy voiced retroflex stop consonant	ɖʱ	4323	ɖ̤	pulmonic stop breathy voiced retroflex
