CLTS_NAME	BIPA_GRAPHEME	GRAPHEME	IMAGE	SOUND	FEATURES
voiced alveolar lateral approximant consonant	l	l	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-155.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_alveolar_lateral-approximant.mp3	a voiced alveolar lateral approximant
voiced retroflex lateral approximant consonant	ɭ	ɭ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-156.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_retroflex_lateral-approximant.mp3	a voiced lateral  approximant
voiced palatal lateral approximant consonant	ʎ	λ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-157.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_palatal_lateral-approximant.mp3	a voiced palatal lateral approximant
voiced velar lateral approximant consonant	ʟ	ʟ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-158.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_velar_lateral-approximant.mp3	a voiced velar lateral approximant
voiceless labial click consonant	ʘ	ʘ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-176.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/bilabial_click.mp3	a bilabial click
voiceless dental click consonant	ǀ	ǀ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-177.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/dental_click.mp3	a dental click
voiceless alveolar click consonant	ǃ	ǃ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-178.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/postalveolar_click.mp3	a postalveolar click
voiceless palatal click consonant	ǂ	ǂ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-179.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/palatoalveolar_click.mp3	a palatoalveolar click
voiceless lateral click consonant	ǁ	ǁ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-180.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/alveolar-lateral_click.mp3	an alveolar lateral click
voiced bilabial implosive consonant	ɓ	ɓ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-160.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_bilabial_implosive.mp3	a voiced bilabial implosive
