CLTS_NAME	BIPA_GRAPHEME	GRAPHEME	LATEX	FEATURES
syllabic palatalized voiced labio-dental nasal consonant	ɱ̩ʲ	ɱ̩ʲ	\textipa{\s{\textltailm}}\super j	nasal::labiodental, palatal::+voice +nasal +syllabic
syllabic palatalized voiced dental implosive consonant	ɗ̩ʲ	ɗ̩ʲ	\textipa{\s{\texthtd}}\super j	plosive::dental, palatal::+voice +syllabic
syllabic palatalized voiceless dental fricative consonant	θ̩ʲ	θ̩ʲ	\textipa{\sT}\super j	fricative::dental, palatal::−voice +syllabic
syllabic palatalized voiced dental fricative consonant	ð̩ʲ	ð̩ʲ	\textipa{\sD}\super j	fricative::dental, palatal::+voice +syllabic
syllabic palatalized voiceless alveolar stop consonant	t̩ʲ	t̩ʲ	\textipa{\s{t}}\super j	plosive::alveolar, palatal::−voice +syllabic
syllabic palatalized voiced alveolar stop consonant	d̩ʲ	d̩ʲ	\textipa{\s{d}}\super j	plosive::alveolar, palatal::+voice +syllabic
syllabic palatalized voiceless alveolar sibilant fricative consonant	s̩ʲ	s̩ʲ	\textipa{\s{s}}\super j	fricative::alveolar, palatal::−voice +syllabic
syllabic palatalized voiced alveolar sibilant fricative consonant	z̩ʲ	z̩ʲ	\textipa{\s{z}}\super j	fricative::alveolar, palatal::+voice +syllabic
syllabic palatalized voiceless alveolar lateral fricative consonant	ɬ̩ʲ	ɬ̩ʲ	\textipa{\s{\textbeltl}}\super j	fricative::alveolar, palatal::+voice +lateral +syllabic
syllabic palatalized voiced alveolar lateral fricative consonant	ɮ̩ʲ	ɮ̩ʲ	\textipa{\s{\textlyoghlig}}\super j	fricative::alveolar, palatal::+voice +lateral +syllabic
syllabic palatalized voiced alveolar nasal consonant	n̩ʲ	n̩ʲ	\textsyllabic{n}\super j	nasal::alveolar, palatal::+voice +nasal +syllabic
syllabic palatalized voiceless post-alveolar sibilant fricative consonant	ʃ̩ʲ	ʃ̩ʲ	\textipa{\sS}\super j	fricative::palatoalveolar, palatal::−voice +syllabic
syllabic palatalized voiced post-alveolar sibilant fricative consonant	ʒ̩ʲ	ʒ̩ʲ	\textipa{\s{\textyogh}}\super j	fricative::palatoalveolar, palatal::+voice +syllabic
syllabic palatalized voiceless retroflex stop consonant	ʈ̩ʲ	ʈ̩ʲ	\textipa{\s{\textrtailt}}\super j	plosive::retroflex, palatal::−voice +syllabic
syllabic palatalized voiced retroflex stop consonant	ɖ̩ʲ	ɖ̩ʲ	\textipa{\s{\textrtaild}}\super j	plosive::retroflex, palatal::+voice +syllabic
syllabic palatalized voiceless retroflex sibilant fricative consonant	ʂ̩ʲ	ʂ̩ʲ	\textipa{\s{\textrtails}}\super j	fricative::retroflex, palatal::−voice +syllabic
syllabic palatalized voiced retroflex sibilant fricative consonant	ʐ̩ʲ	ʐ̩ʲ	\textipa{\s{\textrtailz}}\super j	fricative::retroflex, palatal::+voice +syllabic
syllabic palatalized voiced retroflex nasal consonant	ɳ̩ʲ	ɳ̩ʲ	\textipa{\s{\:n}}\super j	nasal::retroflex, palatal::+voice +nasal +syllabic
syllabic palatalized voiceless palatal stop consonant	c̩ʲ	c̩ʲ	\textipa{\s{c}}\super j	plosive::palatal::−voice +syllabic
syllabic palatalized voiced palatal stop consonant	ɟ̩ʲ	ɟ̩ʲ	\textipa{\s{\textbardotlessj}}\super j	plosive::palatal::+voice +syllabic
syllabic palatalized voiceless palatal sibilant fricative consonant	ç̩ʲ	ç̩ʲ	\textipa{\s{\c{c}}}\super j	fricative::palatal::−voice +syllabic
syllabic palatalized voiced palatal fricative consonant	ʝ̩ʲ	ʝ̩ʲ	\textipa{\s{\textctj}}\super j	fricative::palatal::+voice +syllabic
syllabic palatalized voiced palatal nasal consonant	ɲ̩ʲ	ɲ̩ʲ	\textipa{\s{\textltailn}}\super j	nasal::palatal::+voice +nasal +syllabic
syllabic palatalized voiceless velar stop consonant	k̩ʲ	k̩ʲ	\textipa{\s{k}}\super j	plosive::velar, palatal::−voice +syllabic
syllabic palatalized voiced velar stop consonant	g̩ʲ	ɡ̩ʲ	\textipa{\s{ɡ}}\super j	plosive::velar, palatal::+voice +syllabic
syllabic palatalized voiced velar implosive consonant	ɠ̩ʲ	ɠ̩ʲ	\textipa{\s{\texthtg}}\super j	plosive::velar, palatal::+voice +syllabic
syllabic palatalized voiceless velar fricative consonant	x̩ʲ	x̩ʲ	\textipa{\s{x}}\super j	fricative::velar, palatal::−voice +syllabic
syllabic palatalized voiced velar fricative consonant	ɣ̩ʲ	ɣ̩ʲ	\textipa{\sG}\super j	fricative::velar, palatal::+voice +syllabic
