CLTS_NAME	BIPA_GRAPHEME	FREQUENCY	GRAPHEME
aspirated voiceless labial click consonant	ʘʰ	291	ʘʰ
breathy voiceless labial click consonant	ʘʱ	221	ʘʱ
glottalized voiceless labial click consonant	ʘˀ	292	ʘˀ
back rounded close with-frication back vowel	ʮ	345	ʮ
glottalized back rounded close with-frication back vowel	ʮˀ	374	ʮˀ
long back rounded close with-frication back vowel	ʮː	307	ʮː
central rounded close with-frication central vowel	ʯ	365	ʯ
glottalized central rounded close with-frication central vowel	ʯˀ	316	ʯˀ
pre-aspirated voiced alveolar stop consonant	ʰd	615	ʰd
pre-aspirated voiceless velar stop consonant	ʰk	622	ʰk
pre-aspirated voiceless bilabial stop consonant	ʰp	630	ʰp
pre-aspirated voiceless alveolar stop consonant	ʰt	633	ʰt
pre-glottalized voiced bilabial stop consonant	ˀb	604	ˀb
pre-glottalized with-lateral-release voiced bilabial stop consonant	ˀbˡ	70	ˀbˡ
pre-glottalized voiceless palatal stop consonant	ˀc	466	ˀc
pre-glottalized voiced alveolar stop consonant	ˀd	607	ˀd
pre-glottalized voiced dental stop consonant	ˀd̪	647	ˀd̪
pre-glottalized voiceless glottal fricative consonant	ˀh	317	ˀh
pre-glottalized voiced palatal approximant consonant	ˀj	421	ˀj
pre-glottalized voiceless velar stop consonant	ˀk	613	ˀk
pre-glottalized voiced alveolar lateral approximant consonant	ˀl	446	ˀl
pre-glottalized voiced bilabial nasal consonant	ˀm	532	ˀm
pre-glottalized voiced alveolar nasal consonant	ˀn	535	ˀn
pre-glottalized voiced dental nasal consonant	ˀn̪	522	ˀn̪
pre-glottalized voiceless bilabial stop consonant	ˀp	620	ˀp
pre-glottalized voiced alveolar trill consonant	ˀr	719	ˀr
pre-glottalized voiceless dental sibilant fricative consonant	ˀs̪	361	ˀs̪
pre-glottalized voiceless alveolar stop consonant	ˀt	624	ˀt
pre-glottalized aspirated voiceless dental stop consonant	ˀt̪ʰ	694	ˀt̪ʰ
pre-glottalized voiced labio-dental fricative consonant	ˀv	323	ˀv
pre-glottalized voiced labialized-velar approximant consonant	ˀw	428	ˀw
pre-glottalized voiced alveolar sibilant fricative consonant	ˀz	325	ˀz
pre-glottalized voiced dental fricative consonant	ˀð	335	ˀð
pre-glottalized voiced velar nasal consonant	ˀŋ	552	ˀŋ
pre-glottalized labialized voiced velar nasal consonant	ˀŋʷ	526	ˀŋʷ
pre-glottalized voiced palatal stop consonant	ˀɟ	636	ˀɟ
pre-glottalized voiced velar fricative consonant	ˀɣ	314	ˀɣ
pre-glottalized devoiced voiced alveolar tap consonant	ˀɾ	737	ˀɾ
pre-glottalized voiced uvular fricative consonant	ˀʁ	364	ˀʁ
pre-glottalized labialized voiced uvular fricative consonant	ˀʁʷ	358	ˀʁʷ
voiced bilabial fricative consonant	β	336	β
palatalized voiced bilabial fricative consonant	βʲ	315	βʲ
labialized voiced bilabial fricative consonant	βʷ	373	βʷ
pre-nasalized voiced alveolar stop consonant	ⁿd	581	ⁿd
pre-nasalized palatalized voiced alveolar stop consonant	ⁿdʲ	600	ⁿdʲ
pre-nasalized with-lateral-release voiced alveolar stop consonant	ⁿdˡ	79	ⁿdˡ
pre-nasalized voiced dental stop consonant	ⁿd̪	687	ⁿd̪
pre-nasalized voiceless alveolar sibilant fricative consonant	ⁿs	308	ⁿs
pre-nasalized voiceless alveolar stop consonant	ⁿt	596	ⁿt
pre-nasalized aspirated voiceless alveolar stop consonant	ⁿtʰ	595	ⁿtʰ
pre-nasalized glottalized with-lateral-release voiceless alveolar stop consonant	ⁿtˀˡ	55	ⁿtˡˀ
pre-nasalized voiced alveolar sibilant fricative consonant	ⁿz	312	ⁿz
pre-nasalized devoiced voiced alveolar tap consonant	ⁿɾ	705	ⁿɾ
