CLTS_NAME	BIPA_GRAPHEME	GRAPHEME	URL
pharyngealized voiceless dental fricative consonant	θˤ	θˤ	https://chridd.nfshost.com/diachronica/search?q=%ce%b8%cb%a4
voiceless alveolar sibilant fricative consonant	s	s	https://chridd.nfshost.com/diachronica/search?q=s
aspirated voiceless alveolar sibilant fricative consonant	sʰ	sʰ	https://chridd.nfshost.com/diachronica/search?q=s%ca%b0
long voiceless alveolar sibilant fricative consonant	sː	sː	https://chridd.nfshost.com/diachronica/search?q=s%cb%90
pharyngealized voiceless alveolar sibilant fricative consonant	sˤ	sˤ	https://chridd.nfshost.com/diachronica/search?q=s%cb%a4
syllabic voiceless alveolar sibilant fricative consonant	s̩	s̩	https://chridd.nfshost.com/diachronica/search?q=s%cc%a9
voiceless apical alveolar sibilant fricative consonant	s̺	s̺	https://chridd.nfshost.com/diachronica/search?q=s%cc%ba
voiceless laminal alveolar sibilant fricative consonant	s̻	s̻	https://chridd.nfshost.com/diachronica/search?q=s%cc%bb
palatalized voiceless alveolar sibilant fricative consonant	sʲ	sʲ	https://chridd.nfshost.com/diachronica/search?q=s%ca%b2
palatalized long voiceless alveolar sibilant fricative consonant	sʲː	sʲː	https://chridd.nfshost.com/diachronica/search?q=s%ca%b2%cb%90
labialized voiceless alveolar sibilant fricative consonant	sʷ	sʷ	https://chridd.nfshost.com/diachronica/search?q=s%ca%b7
labialized long voiceless alveolar sibilant fricative consonant	sʷː	sʷː	https://chridd.nfshost.com/diachronica/search?q=s%ca%b7%cb%90
palatalized labialized voiceless alveolar sibilant fricative consonant	sʲʷ	sʲʷ	https://chridd.nfshost.com/diachronica/search?q=s%ca%b2%ca%b7
palatalized labialized long voiceless alveolar sibilant fricative consonant	sʲʷː	sʲʷː	https://chridd.nfshost.com/diachronica/search?q=s%ca%b2%ca%b7%cb%90
palatalized labialized voiceless alveolar sibilant fricative consonant	sʲʷ	sʷʲ	https://chridd.nfshost.com/diachronica/search?q=s%ca%b7%ca%b2
voiceless post-alveolar sibilant fricative consonant	ʃ	ʃ	https://chridd.nfshost.com/diachronica/search?q=%ca%83
aspirated voiceless post-alveolar sibilant fricative consonant	ʃʰ	ʃʰ	https://chridd.nfshost.com/diachronica/search?q=%ca%83%ca%b0
long voiceless post-alveolar sibilant fricative consonant	ʃː	ʃː	https://chridd.nfshost.com/diachronica/search?q=%ca%83%cb%90
pharyngealized voiceless post-alveolar sibilant fricative consonant	ʃˤ	ʃˤ	https://chridd.nfshost.com/diachronica/search?q=%ca%83%cb%a4
voiceless apical post-alveolar sibilant fricative consonant	ʃ̺	ʃ̺	https://chridd.nfshost.com/diachronica/search?q=%ca%83%cc%ba
palatalized voiceless post-alveolar sibilant fricative consonant	ʃʲ	ʃʲ	https://chridd.nfshost.com/diachronica/search?q=%ca%83%ca%b2
labialized voiceless post-alveolar sibilant fricative consonant	ʃʷ	ʃʷ	https://chridd.nfshost.com/diachronica/search?q=%ca%83%ca%b7
labialized aspirated voiceless post-alveolar sibilant fricative consonant	ʃʷʰ	ʃʷʰ	https://chridd.nfshost.com/diachronica/search?q=%ca%83%ca%b7%ca%b0
labialized long voiceless post-alveolar sibilant fricative consonant	ʃʷː	ʃʷː	https://chridd.nfshost.com/diachronica/search?q=%ca%83%ca%b7%cb%90
voiceless retroflex sibilant fricative consonant	ʂ	ʂ	https://chridd.nfshost.com/diachronica/search?q=%ca%82
aspirated voiceless retroflex sibilant fricative consonant	ʂʰ	ʂʰ	https://chridd.nfshost.com/diachronica/search?q=%ca%82%ca%b0
long voiceless retroflex sibilant fricative consonant	ʂː	ʂː	https://chridd.nfshost.com/diachronica/search?q=%ca%82%cb%90
labialized voiceless retroflex sibilant fricative consonant	ʂʷ	ʂʷ	https://chridd.nfshost.com/diachronica/search?q=%ca%82%ca%b7
voiceless alveolo-palatal sibilant fricative consonant	ɕ	ɕ	https://chridd.nfshost.com/diachronica/search?q=%c9%95
aspirated voiceless alveolo-palatal sibilant fricative consonant	ɕʰ	ɕʰ	https://chridd.nfshost.com/diachronica/search?q=%c9%95%ca%b0
long voiceless alveolo-palatal sibilant fricative consonant	ɕː	ɕː	https://chridd.nfshost.com/diachronica/search?q=%c9%95%cb%90
voiceless alveolo-palatal sibilant fricative consonant	ɕ	ɕ͡	https://chridd.nfshost.com/diachronica/search?q=%c9%95%cd%a1
aspirated voiceless alveolo-palatal sibilant fricative consonant	ɕʰ	ɕ͡ʰ	https://chridd.nfshost.com/diachronica/search?q=%c9%95%cd%a1%ca%b0
labialized voiceless alveolo-palatal sibilant fricative consonant	ɕʷ	ɕʷ	https://chridd.nfshost.com/diachronica/search?q=%c9%95%ca%b7
